order_id,order_date,region,product,quantity,unit_price,customer_email,phone,total_amount
ORD-00028,2025-08-24,Davao,Instant Coffee,2,1434.18,invalid-email,09829627019,2868.36
ORD-00029,2025-12-11,Cebu,Laundry Soap,9,46.98,customer28@outlook.ph,09675757257,422.82
ORD-00030,2025-02-18,Davao,Canned Sardines,17,309.75,customer29@outlook.ph,09455569462,5265.75
ORD-00031,2025-02-28,NCR,Sugar 1kg,3,31.19,customer30@yahoo.com,09129635852,93.57
ORD-00032,2025-06-19,Cebu,Rice 25kg,6,,customer31@gmail.com,09223847257,5869.56
ORD-00033,2025-07-07,Baguio,Rice 25kg,5,1349.09,customer32@yahoo.com,09380477683,6745.45
ORD-00034,2025-09-28,Cebu,Canned Sardines,5,380.35,customer33@outlook.ph,09291735734,1901.75
ORD-00035,2025-07-09,Cebu,Canned Sardines,15,1392.01,customer34@yahoo.com,09723403479,20880.15
ORD-00036,2025-06-24,Cebu,Instant Coffee,17,109.2,customer35@gmail.com,09385042337,1856.4
ORD-00037,2025-02-20,Cebu,Rice 25kg,9,1402.97,customer36@gmail.com,09141078352,12626.73
ORD-00038,2025-12-30,Davao,Sugar 1kg,3,540.4,invalid-email,09216396351,1621.2
ORD-00039,2025-02-24,NCR,Laundry Soap,17,170.1,customer38@yahoo.com,09740563507,2891.7
ORD-00040,2025-09-01,Iloilo,Sugar 1kg,10,739.09,customer39@yahoo.com,09566609283,7390.9
ORD-00041,2025/11/16,Cebu,Cooking Oil 1L,3,400.03,customer40@yahoo.com,09471178705,1200.09
ORD-00042,2025-05-11,Baguio,Cooking Oil 1L,18,441.61,customer41@gmail.com,09882269302,7948.98
ORD-00043,2025-11-03,Cebu,Canned Sardines,18,474.79,customer42@gmail.com,09944420824,8546.22
ORD-00044,2025-05-15,Baguio,Instant Coffee,17,1208.48,customer43@yahoo.com,09436808455,20544.16
ORD-00045,2025-01-21,Davao,Cooking Oil 1L,3,817.96,customer44@gmail.com,09568574364,2453.88
ORD-00046,2025-11-25,Baguio,Rice 25kg,3,480.74,customer45@gmail.com,09750911797,1442.22
ORD-00047,2025-06-16,Iloilo,Sugar 1kg,6,923.29,customer46@yahoo.com,09649136331,5539.74
ORD-00048,2025-10-01,NCR,Sugar 1kg,13,,customer47@gmail.com,09224173718,14038.7
ORD-00049,2025-03-30,Baguio,Canned Sardines,15,423.48,customer48@yahoo.com,09513600440,6352.2
ORD-00050,2025-11-12,Baguio,Laundry Soap,9,632.05,customer49@yahoo.com,09719106699,5688.45
ORD-00051,2025/01/14,NCR,Canned Sardines,4,200.39,customer50@outlook.ph,09304095531,801.56
ORD-00052,2025-08-30,Iloilo,Laundry Soap,14,288.1,customer51@yahoo.com,09373506211,4033.4
ORD-00053,2025-09-22,Cebu,Canned Sardines,5,1028.05,customer52@gmail.com,09147659674,5140.25
ORD-00054,2025-12-12,Baguio,Canned Sardines,2,288.53,customer53@outlook.ph,09861052404,577.06
ORD-00055,2025-02-22,NCR,Canned Sardines,11,797.24,customer54@yahoo.com,09568213197,8769.64
ORD-00056,2025-12-06,Davao,Laundry Soap,9,1069.39,customer55@outlook.ph,09101815992,9624.51
ORD-00057,2025-04-02,NCR,Laundry Soap,3,178.18,customer56@gmail.com,09658260221,534.54
ORD-00058,2025-09-21,Davao,Canned Sardines,9,859.62,customer57@yahoo.com,09965984448,7736.58
ORD-00059,2025-02-04,Iloilo,Cooking Oil 1L,3,399.71,customer58@gmail.com,09678158427,1199.13
ORD-00060,2025-07-25,Cebu,Instant Coffee,2,1445.13,customer59@outlook.ph,09837507241,2890.26
ORD-00061,2025-03-22,NCR,Instant Coffee,12,735.65,customer60@yahoo.com,09872482077,8827.8
ORD-00062,2025-02-19,Baguio,Instant Coffee,10,1212.87,customer61@outlook.ph,09896662826,12128.7
ORD-00063,2025-12-26,Iloilo,Laundry Soap,9,834.34,customer62@outlook.ph,09891388192,7509.06
ORD-00064,2025-01-02,NCR,Laundry Soap,15,84.25,customer63@yahoo.com,09820081872,1263.75
ORD-00065,2025-02-23,Baguio,Cooking Oil 1L,8,957.06,customer64@outlook.ph,09311564862,7656.48
ORD-00066,2025-04-16,NCR,Instant Coffee,5,,customer65@gmail.com,09491079829,7140.4
ORD-00067,2025-09-17,Davao,Instant Coffee,11,,customer66@outlook.ph,09563102056,10014.29
ORD-00068,2025-11-06,NCR,Canned Sardines,2,,customer67@gmail.com,09175133802,2464.8
ORD-00069,2025-07-10,NCR,Laundry Soap,15,1328.63,customer68@gmail.com,09813219781,19929.45
ORD-00070,2025-08-06,NCR,Instant Coffee,6,357.56,customer69@outlook.ph,09454549587,2145.36
ORD-00071,2025-02-13,Iloilo,Sugar 1kg,8,333.83,customer70@gmail.com,09769108025,2670.64
ORD-00072,2025-06-11,NCR,Cooking Oil 1L,5,924.25,customer71@yahoo.com,09437064353,4621.25
ORD-00073,2025-07-21,Baguio,Sugar 1kg,16,628.32,customer72@gmail.com,09812306873,10053.12
ORD-00074,2025-09-27,Davao,Sugar 1kg,18,1262.99,customer73@gmail.com,09233815413,22733.82
ORD-00075,2025-12-17,Davao,Cooking Oil 1L,6,1352.03,customer74@gmail.com,09872830248,8112.18
ORD-00076,2025/10/31,NCR,Sugar 1kg,5,543.06,customer75@yahoo.com,09422468580,2715.3
ORD-00077,2025-09-28,Iloilo,Instant Coffee,16,370.57,customer76@yahoo.com,09644518647,5929.12
ORD-00078,2025-08-03,Iloilo,Laundry Soap,13,1175.18,customer77@yahoo.com,09432091877,15277.34
ORD-00079,2025-09-09,Baguio,Cooking Oil 1L,5,426.71,customer78@outlook.ph,09816070802,2133.55
ORD-00080,2025-07-09,NCR,Canned Sardines,13,1237.47,customer79@yahoo.com,09538508549,16087.11
ORD-00081,2025-10-23,Davao,Sugar 1kg,17,647.13,customer80@gmail.com,09450236225,11001.21
ORD-00082,2025-08-01,Iloilo,Cooking Oil 1L,18,1007.97,customer81@yahoo.com,09532074125,18143.46
ORD-00083,2025-07-27,NCR,Rice 25kg,8,161.39,customer82@yahoo.com,09848621833,1291.12
ORD-00084,2025-08-25,Iloilo,Rice 25kg,13,943.31,customer83@gmail.com,09417457352,12263.03
ORD-00085,2025-12-04,Iloilo,Laundry Soap,19,688.62,customer84@outlook.ph,09695295870,13083.78
ORD-00086,2025-02-22,Davao,Instant Coffee,3,888.18,customer85@yahoo.com,09236674237,2664.54
ORD-00087,2025-10-07,Cebu,Laundry Soap,8,268.66,customer86@outlook.ph,09305986733,2149.28
ORD-00088,2025-08-05,Baguio,Laundry Soap,2,1110.57,customer87@outlook.ph,09551450815,2221.14
ORD-00089,2025-09-09,Baguio,Laundry Soap,8,1296.94,customer88@outlook.ph,09813962536,10375.52
ORD-00090,2025-07-07,Davao,Laundry Soap,13,340.77,customer89@gmail.com,09507104143,4430.01
ORD-00091,2025-02-10,Iloilo,Canned Sardines,13,,customer90@outlook.ph,09827264603,2101.58
ORD-00092,2025-06-06,NCR,Canned Sardines,1,54.99,customer91@outlook.ph,09903303363,54.99
ORD-00093,2025-01-15,Iloilo,Cooking Oil 1L,6,970.12,customer92@gmail.com,09286860433,5820.72
ORD-00094,2025-10-28,Davao,Rice 25kg,19,918.5,customer93@outlook.ph,09760904107,17451.5
ORD-00095,2025-03-06,Baguio,Laundry Soap,16,829.11,customer94@outlook.ph,09711072118,13265.76
ORD-00096,2025-12-11,Iloilo,Cooking Oil 1L,8,363.28,customer95@gmail.com,09423142470,2906.24
ORD-00097,2025-11-23,Baguio,Rice 25kg,1,598.54,customer96@gmail.com,09536019893,598.54
ORD-00098,2025-01-09,NCR,Sugar 1kg,16,899.82,customer97@yahoo.com,09688343096,14397.12
ORD-00099,2025/12/10,Baguio,Instant Coffee,9,755.21,customer98@yahoo.com,09995205588,6796.89
ORD-00100,2025-05-09,Baguio,Canned Sardines,13,1481.92,customer99@yahoo.com,09100435874,19264.96
ORD-00101,2025-05-16,Cebu,Sugar 1kg,11,221.93,customer100@outlook.ph,09426283245,2441.23
ORD-00102,2025-03-04,Cebu,Rice 25kg,13,1048.81,customer101@outlook.ph,09408071259,13634.53
ORD-00103,2025-05-19,Cebu,Sugar 1kg,10,618.39,customer102@outlook.ph,09325681936,6183.9
ORD-00104,2025-03-22,Baguio,Instant Coffee,4,653.74,customer103@gmail.com,09561588882,2614.96
ORD-00105,2025-06-12,Davao,Rice 25kg,6,1082.04,customer104@outlook.ph,09943702118,6492.24
ORD-00106,2025-10-16,Baguio,Sugar 1kg,7,1044.81,customer105@yahoo.com,09722753913,7313.67
ORD-00107,2025-09-18,Davao,Canned Sardines,5,1487.06,customer106@gmail.com,09751397897,7435.3
ORD-00108,2025-08-19,Davao,Canned Sardines,11,210.02,customer107@gmail.com,09802984810,2310.22
ORD-00109,2025-02-10,Cebu,Cooking Oil 1L,13,174.08,customer108@gmail.com,09446012478,2263.04
ORD-00110,2025-01-28,Iloilo,Sugar 1kg,19,1092.02,customer109@yahoo.com,09599277266,20748.38
ORD-00111,2025-05-15,NCR,Laundry Soap,10,876.01,customer110@yahoo.com,09574364121,8760.1
ORD-00112,2025-07-20,Cebu,Sugar 1kg,10,425.76,customer111@yahoo.com,09574765466,4257.6
ORD-00113,2025-11-24,Cebu,Rice 25kg,11,137.54,customer112@gmail.com,09825449223,1512.94
ORD-00114,2025-09-25,Iloilo,Rice 25kg,7,146.77,customer113@gmail.com,09329460134,1027.39
ORD-00115,2025-02-02,NCR,Sugar 1kg,18,1343.4,customer114@outlook.ph,09648868899,24181.2
ORD-00116,2025-02-17,Baguio,Instant Coffee,4,303.96,customer115@outlook.ph,09608079792,1215.84
ORD-00117,2025-03-03,Baguio,Canned Sardines,2,498.59,customer116@yahoo.com,09952266893,997.18
ORD-00118,2025-08-04,Cebu,Rice 25kg,14,355.45,customer117@gmail.com,09954725078,4976.3
ORD-00119,2025-10-20,NCR,Canned Sardines,13,545.39,customer118@outlook.ph,09890232588,7090.07
ORD-00120,2025-04-09,Cebu,Rice 25kg,12,,customer119@yahoo.com,09282204745,1473.0
ORD-00121,2025-06-21,Davao,Cooking Oil 1L,7,788.21,customer120@yahoo.com,09807435606,5517.47
ORD-00122,2025-12-26,Cebu,Laundry Soap,2,120.07,customer121@outlook.ph,09191048514,240.14
ORD-00123,2025-08-02,Cebu,Rice 25kg,13,1204.53,customer122@yahoo.com,09404713332,15658.89
ORD-00124,2025-02-04,Baguio,Canned Sardines,14,365.89,customer123@gmail.com,09653462378,5122.46
ORD-00125,2025-08-15,Baguio,Cooking Oil 1L,17,819.22,customer124@yahoo.com,09812807629,13926.74
ORD-00126,2025-04-11,Baguio,Rice 25kg,9,1322.52,customer125@gmail.com,09779615069,11902.68
ORD-00127,2025-05-11,Davao,Instant Coffee,17,983.3,customer126@gmail.com,09764926227,16716.1
ORD-00128,2025-09-14,Baguio,Laundry Soap,8,808.78,customer127@outlook.ph,09459905654,6470.24
ORD-00129,2025-01-05,NCR,Rice 25kg,2,500.01,customer128@outlook.ph,09200273738,1000.02
ORD-00130,2025-08-06, ncr ,Cooking Oil 1L,13,512.84,customer129@outlook.ph,09978775497,6666.92
ORD-00131,2025-09-12,NCR,Instant Coffee,3,1010.84,invalid-email,09906528433,3032.52
ORD-00132,2025-12-25, ncr ,Sugar 1kg,16,1491.33,customer131@outlook.ph,09352188235,23861.28
ORD-00133,2025-10-10,Baguio,Cooking Oil 1L,6,999.52,customer132@outlook.ph,09822408848,5997.12
ORD-00134,2025-07-26,Iloilo,Cooking Oil 1L,19,845.52,customer133@yahoo.com,09433310361,16064.88
ORD-00135,2025-01-15,Iloilo,Instant Coffee,7,1101.36,customer134@outlook.ph,09341206079,7709.52
ORD-00136,2025-12-12,Iloilo,Cooking Oil 1L,10,708.5,customer135@yahoo.com,09966040317,7085.0
ORD-00137,2025-02-11,Davao,Instant Coffee,9,109.01,customer136@yahoo.com,09313814138,981.09
ORD-00138,2025-06-28,Baguio,Rice 25kg,2,852.2,customer137@gmail.com,09258220114,1704.4
ORD-00139,2025-03-04,Iloilo,Instant Coffee,15,1437.29,customer138@gmail.com,09126226563,21559.35
ORD-00140,2025/12/18,Davao,Instant Coffee,5,279.45,customer139@outlook.ph,09149621604,1397.25
ORD-00141,2025-08-19,Cebu,Laundry Soap,4,1041.21,customer140@yahoo.com,09362897676,4164.84
ORD-00142,2025-08-29,Cebu,Instant Coffee,4,317.38,customer141@gmail.com,09610173760,1269.52
ORD-00143,2025-02-21,Davao,Instant Coffee,18,,customer142@gmail.com,09756350429,14634.36
ORD-00144,2025-04-06,Davao,Sugar 1kg,4,163.08,customer143@gmail.com,09925159146,652.32
ORD-00145,2025-08-10,Baguio,Rice 25kg,17,686.55,customer144@gmail.com,09178198716,11671.35
ORD-00146,2025-08-19,Baguio,Laundry Soap,12,1139.12,customer145@outlook.ph,09588999385,13669.44
ORD-00147,2025-08-25,Cebu,Sugar 1kg,17,,customer146@gmail.com,09545002643,9084.97
ORD-00148,2025-05-23,Iloilo,Canned Sardines,10,1004.07,customer147@outlook.ph,09776205431,10040.7
ORD-00149,2025-06-20,Cebu,Rice 25kg,1,1197.27,customer148@yahoo.com,09718121922,1197.27
ORD-00150,2025-01-29,Iloilo,Rice 25kg,18,1392.22,customer149@outlook.ph,09308773243,25059.96
ORD-00151,2025-02-05,Iloilo,Canned Sardines,18,367.27,customer150@gmail.com,09871318048,6610.86
ORD-00152,2025-01-13,Baguio,Instant Coffee,14,610.99,customer151@yahoo.com,09847704681,8553.86
ORD-00153,2025-06-09,NCR,Sugar 1kg,15,245.58,customer152@yahoo.com,09512293741,3683.7
ORD-00154,2025-11-23,NCR,Cooking Oil 1L,12,1488.88,customer153@outlook.ph,09630833445,17866.56
ORD-00155,2025-07-06,Davao,Laundry Soap,4,1391.96,customer154@yahoo.com,09529123992,5567.84
ORD-00156,2025-08-31,Baguio,Cooking Oil 1L,3,819.14,customer155@outlook.ph,09361976301,2457.42
ORD-00157,2025-03-27,Iloilo,Canned Sardines,12,1266.21,customer156@yahoo.com,09258453521,15194.52
ORD-00158,2025-10-11,NCR,Rice 25kg,7,791.02,customer157@outlook.ph,09804436922,5537.14
ORD-00159,2025-03-07,Iloilo,Rice 25kg,11,942.91,customer158@gmail.com,09838328947,10372.01
ORD-00160,2025-06-19,NCR,Laundry Soap,1,151.9,customer159@outlook.ph,09105953697,151.9
ORD-00161,2025-02-14,NCR,Rice 25kg,6,1137.8,customer160@outlook.ph,09906341966,6826.8
ORD-00162,2025-03-03, ncr ,Rice 25kg,15,209.02,customer161@gmail.com,09926830795,3135.3
ORD-00163,2025-05-14,Baguio,Laundry Soap,15,1242.58,customer162@outlook.ph,09214447237,18638.7
ORD-00164,2025/10/11,Cebu,Sugar 1kg,19,1177.4,customer163@outlook.ph,09935822550,22370.6
ORD-00165,2025-01-28,Iloilo,Sugar 1kg,11,1068.94,customer164@yahoo.com,09556497252,11758.34
ORD-00166,2025-04-18,Baguio,Laundry Soap,2,73.52,customer165@outlook.ph,09334978881,147.04
ORD-00167,2025-02-13,Baguio,Canned Sardines,14,468.63,customer166@yahoo.com,09288856883,6560.82
ORD-00168,2025-12-06,Baguio,Rice 25kg,2,409.41,customer167@gmail.com,09963406382,818.82
ORD-00169,2025-10-13,Baguio,Rice 25kg,4,,customer168@yahoo.com,09847229579,2212.0
ORD-00170,2025-11-27,Baguio,Canned Sardines,17,149.71,customer169@yahoo.com,09656152900,2545.07
ORD-00171,2025-05-08,Davao,Sugar 1kg,3,1406.7,customer170@gmail.com,09598806645,4220.1
ORD-00172,2025-12-14,Iloilo,Instant Coffee,13,839.63,customer171@yahoo.com,09153921577,10915.19
ORD-00173,2025-08-19,Baguio,Instant Coffee,9,472.18,customer172@gmail.com,09698509918,4249.62
ORD-00174,2025-07-09,Iloilo,Instant Coffee,7,607.53,customer173@outlook.ph,09367574609,4252.71
ORD-00175,2025-08-13,Davao,Sugar 1kg,15,681.86,customer174@outlook.ph,09230307805,10227.9
ORD-00176,2025-10-10,Davao,Sugar 1kg,11,908.88,customer175@yahoo.com,09590122159,9997.68
ORD-00177,2025-05-01,Iloilo,Canned Sardines,2,783.21,customer176@outlook.ph,09243171768,1566.42
ORD-00178,2025-04-26,NCR,Rice 25kg,15,1380.7,customer177@gmail.com,09960514523,20710.5
ORD-00179,2025-08-21,Cebu,Canned Sardines,14,755.51,customer178@outlook.ph,09598906879,10577.14
ORD-00180,2025-09-16,NCR,Canned Sardines,11,1488.39,customer179@gmail.com,09816806128,16372.29
ORD-00181,2025-12-25,NCR,Sugar 1kg,3,1280.11,customer180@outlook.ph,09670298515,3840.33
ORD-00182,2025-07-17,NCR,Instant Coffee,17,328.6,customer181@yahoo.com,09700141462,5586.2
ORD-00183,2025-05-17,Baguio,Cooking Oil 1L,12,1397.28,customer182@outlook.ph,09739362057,16767.36
ORD-00184,2025-11-14,Davao,Rice 25kg,15,192.22,customer183@outlook.ph,09440696084,2883.3
ORD-00185,2025-06-14,NCR,Sugar 1kg,16,1229.83,customer184@outlook.ph,09910943524,19677.28
ORD-00186,2025-08-13,Davao,Instant Coffee,5,583.32,customer185@gmail.com,09575209597,2916.6
ORD-00187,2025-11-03,Iloilo,Cooking Oil 1L,6,1319.4,customer186@gmail.com,09757830420,7916.4
ORD-00188,2025-08-22,Cebu,Cooking Oil 1L,19,1304.72,customer187@yahoo.com,09975106572,24789.68
ORD-00189,2025-06-21,Iloilo,Sugar 1kg,5,1212.77,customer188@gmail.com,09872314530,6063.85
ORD-00190,2025-06-01,Iloilo,Laundry Soap,3,,customer189@outlook.ph,09642001424,3567.75
ORD-00191,2025-11-11,Baguio,Rice 25kg,1,470.93,customer190@outlook.ph,09558209399,470.93
ORD-00192,2025-06-09,Cebu,Cooking Oil 1L,6,139.76,invalid-email,09991816852,838.56
ORD-00193,2025-04-06,Iloilo,Sugar 1kg,15,616.41,customer192@outlook.ph,09688273030,9246.15
ORD-00194,2025-08-21,Iloilo,Sugar 1kg,2,276.82,customer193@yahoo.com,09578796089,553.64
ORD-00195,2025-06-29,Cebu,Instant Coffee,3,1048.53,customer194@yahoo.com,09270894498,3145.59
ORD-00196,2025-04-23,Cebu,Laundry Soap,17,532.23,customer195@gmail.com,09898493949,9047.91
ORD-00197,2025-11-14,Iloilo,Rice 25kg,12,1463.9,customer196@gmail.com,09609677794,17566.8
ORD-00198,2025-02-21,Cebu,Canned Sardines,18,968.64,customer197@yahoo.com,09583258726,17435.52
ORD-00199,2025-09-25,Iloilo,Instant Coffee,15,1237.27,customer198@yahoo.com,09378304807,18559.05
ORD-00200,2025-10-22,Iloilo,Cooking Oil 1L,12,216.14,customer199@gmail.com,09907214179,2593.68
ORD-00201,2025-04-23,Baguio,Cooking Oil 1L,16,1295.78,customer200@gmail.com,09365471644,20732.48
ORD-00202,2025-04-11,NCR,Instant Coffee,8,1385.68,customer201@gmail.com,09784683755,11085.44
ORD-00203,2025-04-23,Iloilo,Sugar 1kg,14,740.85,customer202@outlook.ph,09397760792,10371.9
ORD-00204,2025-03-22,Davao,Cooking Oil 1L,17,917.25,customer203@gmail.com,09922286180,15593.25
ORD-00205,2025-07-06,NCR,Laundry Soap,8,1151.92,customer204@gmail.com,09935021998,9215.36
ORD-00206,2025-04-23,NCR,Rice 25kg,15,278.76,customer205@outlook.ph,09659741412,4181.4
ORD-00207,2025-01-02,NCR,Laundry Soap,14,763.8,customer206@yahoo.com,09620332086,10693.2
ORD-00208,2025-05-10,Baguio,Cooking Oil 1L,18,610.02,customer207@gmail.com,09772966010,10980.36
ORD-00209,2025-08-08,Iloilo,Canned Sardines,7,236.63,customer208@outlook.ph,09356888294,1656.41
ORD-00210,2025-02-23,Baguio,Rice 25kg,3,563.95,customer209@gmail.com,09394846763,1691.85
ORD-00211,2025-12-09,Iloilo,Rice 25kg,12,120.9,customer210@gmail.com,09572309605,1450.8
ORD-00212,2025-08-12,Baguio,Instant Coffee,3,58.2,invalid-email,09183197117,174.6
ORD-00213,2025-08-13,Baguio,Instant Coffee,14,220.05,customer212@yahoo.com,09866162966,3080.7
ORD-00214,2025-05-06,Davao,Canned Sardines,15,1445.41,customer213@outlook.ph,09406798268,21681.15
ORD-00215,2025-05-10,Baguio,Sugar 1kg,14,833.3,customer214@gmail.com,09351785565,11666.2
ORD-00216,2025-02-22,Cebu,Rice 25kg,7,1449.42,customer215@yahoo.com,09391751878,10145.94
ORD-00217,2025-06-21,Davao,Canned Sardines,17,660.1,customer216@outlook.ph,09460613550,11221.7
ORD-00218,2025-08-06,Baguio,Instant Coffee,12,481.49,customer217@outlook.ph,09443285529,5777.88
ORD-00219,2025-06-09,NCR,Instant Coffee,4,769.09,customer218@yahoo.com,09679984033,3076.36
ORD-00220,2025-07-17,Cebu,Rice 25kg,9,670.48,customer219@gmail.com,09186519602,6034.32
ORD-00221,2025-09-04,Cebu,Laundry Soap,6,176.38,customer220@outlook.ph,09248578017,1058.28
ORD-00222,2025-11-20,Cebu,Cooking Oil 1L,16,968.42,customer221@outlook.ph,09261953189,15494.72
ORD-00223,2025-07-22,Davao,Instant Coffee,2,339.74,customer222@outlook.ph,09348315126,679.48
ORD-00224,2025-07-03,Baguio,Sugar 1kg,8,936.99,customer223@gmail.com,09511281012,7495.92
ORD-00225,2025-05-03,Baguio,Sugar 1kg,11,982.3,customer224@outlook.ph,09845122940,10805.3
ORD-00226,2025-09-12, ncr ,Instant Coffee,13,245.0,customer225@yahoo.com,09264073400,3185.0
ORD-00227,2025-10-21,NCR,Laundry Soap,17,110.8,customer226@yahoo.com,09858511779,1883.6
ORD-00228,2025/10/07,Cebu,Laundry Soap,8,1175.53,customer227@outlook.ph,09329730155,9404.24
ORD-00229,2025-11-21,NCR,Canned Sardines,18,700.5,customer228@outlook.ph,09168965204,12609.0
ORD-00230,2025-04-08,Davao,Sugar 1kg,18,106.08,customer229@yahoo.com,09545461013,1909.44
ORD-00231,2025-07-17,Baguio,Canned Sardines,14,1492.4,customer230@yahoo.com,09537656494,20893.6
ORD-00232,2025-08-28,Cebu,Sugar 1kg,15,105.52,customer231@outlook.ph,09455281184,1582.8
ORD-00233,2025-05-24,NCR,Cooking Oil 1L,6,1048.65,customer232@yahoo.com,09682624278,6291.9
ORD-00234,2025-04-07,Davao,Cooking Oil 1L,11,1475.84,customer233@gmail.com,09600282414,16234.24
ORD-00235,2025-07-20,Davao,Rice 25kg,13,373.99,customer234@gmail.com,09546434187,4861.87
ORD-00236,2025-05-04,NCR,Canned Sardines,1,230.53,customer235@gmail.com,09166857303,230.53
ORD-00237,2025-07-06,Baguio,Instant Coffee,6,199.65,customer236@gmail.com,09322086735,1197.9
ORD-00238,2025-11-22,NCR,Canned Sardines,9,468.85,customer237@yahoo.com,09994310083,4219.65
ORD-00239,2025/12/15,Cebu,Instant Coffee,8,169.55,customer238@gmail.com,09551125671,1356.4
ORD-00240,2025-09-16,NCR,Laundry Soap,11,1044.4,invalid-email,09518197538,11488.4
ORD-00241,2025-05-28,Davao,Canned Sardines,19,112.19,customer240@outlook.ph,09926561919,2131.61
ORD-00242,2025-09-09,NCR,Laundry Soap,9,773.94,customer241@gmail.com,09727150493,6965.46
ORD-00243,2025-12-12,Baguio,Cooking Oil 1L,17,1495.11,customer242@outlook.ph,09846812123,25416.87
ORD-00244,2025-05-27,Iloilo,Cooking Oil 1L,12,1224.68,customer243@gmail.com,09120972273,14696.16
ORD-00245,2025-05-28,NCR,Rice 25kg,14,930.52,customer244@gmail.com,09922050912,13027.28
ORD-00246,2025-12-18,Baguio,Canned Sardines,15,473.26,customer245@gmail.com,09718142807,7098.9
ORD-00247,2025-07-18,Baguio,Laundry Soap,16,943.37,customer246@outlook.ph,09508431021,15093.92
ORD-00248,2025-11-04,Davao,Instant Coffee,1,800.02,customer247@outlook.ph,09612153089,800.02
ORD-00249,2025-05-08,Baguio,Cooking Oil 1L,10,650.6,customer248@gmail.com,09106330865,6506.0
ORD-00250,2025-02-08,Baguio,Cooking Oil 1L,8,,customer249@gmail.com,09477698143,1707.6
ORD-00251,2025-12-04,Baguio,Instant Coffee,18,1332.17,customer250@gmail.com,09420632895,23979.06
ORD-00252,2025-12-26,Baguio,Laundry Soap,1,685.68,customer251@gmail.com,09909037759,685.68
ORD-00253,2025-05-09,Cebu,Laundry Soap,2,308.04,customer252@yahoo.com,09518744974,616.08
ORD-00254,2025-09-24,Cebu,Canned Sardines,1,564.28,customer253@gmail.com,09997356828,564.28
ORD-00255,2025-05-31,Davao,Canned Sardines,1,632.91,customer254@outlook.ph,09549920675,632.91
ORD-00256,2025-10-25,NCR,Sugar 1kg,9,1244.76,customer255@gmail.com,09677909930,11202.84
ORD-00257,2025-04-09,Baguio,Sugar 1kg,13,1105.75,customer256@yahoo.com,09902638839,14374.75
